,game_id,mp_date,season,home_team,away_team,home_odds,away_odds,home_goals,away_goals,home_win,settled_in,CF%,CSh%,CSv%,FF%,FSh%,FSv%,GDiff,GF%,PDO,PENDiff,SF%,SDiff,Sh%,Sv
2,2008020003.0,20081005.0,20082009.0,NYR,TBL,-125.0,105.0,2.0,1.0,1.0,REG,28.159999999999997,0.32760032760032753,0.3276003276003303,26.200000000000003,0.547778454047474,0.5477784540474762,2.0,33.34,0.2400000000000091,6.0,32.26,40.0,0.1161440185830434,0.11999999999999034
3,2008020004.0,20081005.0,20082009.0,PIT,OTT,-110.0,-110.0,1.0,3.0,0.0,REG,4.920000000000002,1.0775862068965518,1.0775862068965525,-4.439999999999998,2.9193468579910937,2.9193468579910897,1.8600000000000003,14.280000000000001,9.52000000000001,2.0,-7.700000000000003,-9.300000000000004,4.761904761904762,4.760000000000005
15,2008020016.0,20081011.0,20082009.0,TOR,MTL,110.0,-130.0,1.0,6.0,0.0,REG,-6.789999999999999,5.447941888619854,-1.7708333333333326,-9.219999999999999,6.91699604743083,-1.9539730785931408,1.0,10.0,4.1499999999999915,0.0,0.18999999999999773,-2.0,6.773399014778326,-2.6299999999999955
16,2008020017.0,20081011.0,20082009.0,OTT,DET,115.0,-135.0,2.0,3.0,0.0,REG,-9.04,1.9298245614035086,2.795031055900621,-7.3799999999999955,2.7365491651205933,2.840909090909094,1.48,14.549999999999997,6.420000000000002,-5.0,-5.650000000000006,-7.52,4.272013949433304,2.1400000000000006
17,2008020018.0,20081011.0,20082009.0,NYI,STL,-125.0,105.0,5.0,2.0,1.0,REG,-5.330000000000005,-9.188882586500283,0.6333567909922677,-4.0,-10.85858585858586,0.366300366300365,-4.0,-38.10000000000001,-16.689999999999998,-1.0,-2.729999999999997,-3.0,-18.88111888111888,2.1899999999999977
19,2008020020.0,20081011.0,20082009.0,WSH,CHI,-140.0,120.0,4.0,2.0,1.0,REG,8.04,3.0060761112887753,-9.230033476805366,6.920000000000002,3.7188208616780036,-11.618589743589746,-1.0,3.030000000000001,-5.739999999999995,-2.0,5.649999999999999,9.0,3.0523255813953485,-8.789999999999992
21,2008020022.0,20081011.0,20082009.0,PIT,NJD,-135.0,115.0,1.0,2.0,0.0,OT,-8.370000000000005,0.8995502248875562,-2.8241335044929317,-8.380000000000003,1.4880952380952384,-3.7878787878787845,-1.48,-21.22,-4.530000000000001,5.0,-3.1399999999999935,-3.4800000000000004,1.3001695873374783,-5.8300000000000125
22,2008020023.0,20081011.0,20082009.0,TBL,CAR,-110.0,-110.0,3.0,4.0,0.0,OT,-5.979999999999997,-8.439955106621772,2.5809013301568373,-6.82,-12.210012210012211,4.35374149659864,-3.0,-26.67,-12.879999999999995,0.0,-8.780000000000001,-11.0,-20.0,7.1200000000000045
23,2008020024.0,20081011.0,20082009.0,NSH,DAL,-125.0,105.0,3.0,1.0,1.0,REG,-5.960000000000001,-2.475744396119104,0.2768549280177224,-4.960000000000001,-3.760683760683761,0.8169934640522958,-2.0700000000000003,-15.869999999999997,-8.019999999999996,-8.0,-3.450000000000003,-3.710000000000001,-3.8123167155425213,-4.210000000000008
25,2008020026.0,20081011.0,20082009.0,CGY,VAN,-145.0,125.0,4.0,5.0,0.0,OT,6.0,-12.76595744680851,-12.765957446808507,2.700000000000003,-16.666666666666664,-16.666666666666664,-12.0,-100.0,-52.18000000000001,-6.0,4.159999999999997,4.0,-26.08695652173913,-26.090000000000003
29,2008020030.0,20081012.0,20082009.0,ANA,ARI,-190.0,170.0,2.0,4.0,0.0,REG,-3.6700000000000017,-3.3823529411764706,-4.899930986887513,-5.979999999999997,-5.0,-6.111111111111112,-5.0,-55.0,-12.86,-7.0,-9.420000000000002,-13.0,-6.551724137931035,-6.310000000000002
30,2008020031.0,20081012.0,20082009.0,LAK,SJS,130.0,-150.0,0.0,1.0,0.0,REG,-31.07,-2.361853832442068,-1.6451233842538215,-40.94,-1.8418688230008986,-1.25084516565247,-4.5,-52.78,-3.3900000000000006,-9.0,-42.059999999999995,-48.0,-0.8442776735459665,-2.559999999999988
31,2008020032.0,20081013.0,20082009.0,TOR,STL,-120.0,100.0,4.0,4.0,0.0,OT,-5.849999999999994,-2.769631801889866,0.25676613462872755,-2.1400000000000006,-4.388888888888888,-0.04545454545453742,-2.0,-16.67,-5.939999999999998,-6.0,-2.9499999999999957,-4.5,-7.175925925925927,1.230000000000004
32,2008020033.0,20081013.0,20082009.0,NYI,BUF,120.0,-140.0,1.0,7.0,0.0,REG,-4.810000000000002,4.31985294117647,-1.8138566755872776,0.7100000000000009,5.189413596263622,-2.9542920847268728,1.0,10.0,3.5200000000000102,1.0,-4.079999999999998,-3.5,7.222222222222223,-3.700000000000003
33,2008020034.0,20081013.0,20082009.0,NYR,NJD,-125.0,105.0,4.0,1.0,1.0,REG,-8.39,2.28119447469479,-1.2727022564667068,-8.21,2.709911447775526,-1.3646532438478798,0.28,-3.510000000000005,1.5699999999999932,3.0,-7.919999999999995,-8.850000000000001,3.6953242835595783,-2.1200000000000045
34,2008020035.0,20081013.0,20082009.0,PHI,MTL,-125.0,105.0,3.0,5.0,0.0,REG,-3.0600000000000023,0.6153846153846149,-6.260869565217386,-0.25,0.10057832537088279,-8.279124778237723,-3.14,-34.92,-12.11,-3.0,0.5,0.5700000000000003,-0.5760368663594473,-11.530000000000001
35,2008020036.0,20081013.0,20082009.0,WSH,VAN,-135.0,115.0,5.0,1.0,1.0,REG,9.89,-4.220338983050848,-6.62366912366913,8.689999999999998,-5.321900095276982,-8.357245337159247,-3.89,-26.269999999999996,-18.810000000000002,-5.0,8.339999999999996,11.049999999999997,-8.908635224424696,-9.900000000000006
36,2008020037.0,20081013.0,20082009.0,CAR,DET,120.0,-140.0,1.0,3.0,0.0,REG,-11.36,3.968253968253968,0.7650951199338341,-10.07,5.302120848339336,0.28673835125448965,1.4500000000000002,8.82,6.390000000000001,-1.0,-7.439999999999998,-9.649999999999999,7.875457875457875,-1.490000000000009
37,2008020038.0,20081013.0,20082009.0,CHI,NSH,-150.0,130.0,2.0,2.0,0.0,OT,-9.740000000000002,-0.4247787610619468,-0.12987012987013546,-6.450000000000003,-0.8756818834338216,-0.8150248051027598,-1.5,-12.120000000000005,-0.12000000000000455,0.0,-10.560000000000002,-11.0,-1.7120894479385043,1.5900000000000034
38,2008020039.0,20081014.0,20082009.0,PIT,PHI,-140.0,120.0,3.0,2.0,1.0,OT,-8.07,-1.5830185285123228,4.693450114242193,-10.670000000000002,-1.451346893897746,6.319184171533165,0.8699999999999999,2.8599999999999994,7.359999999999999,1.0,-11.990000000000002,-14.120000000000001,-2.105263157894738,9.460000000000008
40,2008020041.0,20081014.0,20082009.0,CGY,COL,-135.0,115.0,5.0,4.0,1.0,REG,-9.410000000000004,-1.0475591870940708,-0.8734177215189876,-11.57,-1.4377406931964056,0.11103708638685594,-2.39,-16.189999999999998,0.29000000000000625,-5.0,-16.21,-17.950000000000003,-0.9259259259259258,1.210000000000008
41,2008020042.0,20081014.0,20082009.0,LAK,ANA,115.0,-135.0,6.0,3.0,1.0,REG,-8.899999999999999,-1.8564052126874846,4.617330803289055,-13.689999999999998,-1.9956140350877192,5.999999999999995,1.0,-7.27,3.8900000000000006,7.0,-13.439999999999998,-12.5,-1.7463235294117647,5.640000000000001
42,2008020043.0,20081014.0,20082009.0,SJS,CBJ,-220.0,190.0,5.0,2.0,1.0,REG,10.54,-1.1273305390952455,4.623983739837401,13.599999999999994,-2.189531303455354,6.343124733929328,2.48,33.85,5.510000000000005,14.0,13.730000000000004,15.07,-2.793493635077793,8.310000000000002
43,2008020044.0,20081015.0,20082009.0,NYR,BUF,-145.0,125.0,1.0,3.0,0.0,REG,0.10999999999999943,-0.7661971830985915,-1.4366262454622691,0.8799999999999955,-1.5121285309251289,-1.7861833464670296,-0.9700000000000002,-13.329999999999998,-3.719999999999999,-3.0,-1.9699999999999989,-1.5399999999999991,-1.2676056338028165,-2.450000000000003
44,2008020045.0,20081015.0,20082009.0,MTL,BOS,-175.0,155.0,3.0,3.0,1.0,OT,4.199999999999996,-1.3990529487731385,4.206082799308309,1.480000000000004,-1.1764705882352942,5.87915572062686,2.1,20.590000000000003,6.3799999999999955,2.0,2.1799999999999997,2.8000000000000007,-0.5519416518825149,6.930000000000007
45,2008020046.0,20081015.0,20082009.0,CHI,ARI,-135.0,115.0,4.0,1.0,1.0,REG,6.07,-3.6398467432950192,-3.8877952755905554,6.399999999999999,-5.076726342710997,-4.906621392190158,-3.2,-32.5,-11.700000000000003,-2.0,0.6700000000000017,1.3999999999999986,-5.270655270655269,-6.420000000000002
46,2008020047.0,20081015.0,20082009.0,DAL,NSH,-175.0,155.0,6.0,4.0,1.0,REG,-6.780000000000001,0.6074822567063632,-1.345619423723854,-6.730000000000004,0.9816954698844458,-2.0334059549745875,-1.1400000000000001,-8.21,-0.46000000000000796,4.0,-8.369999999999997,-8.049999999999997,1.161946259985476,-1.6200000000000045
47,2008020048.0,20081015.0,20082009.0,ANA,EDM,-160.0,140.0,2.0,3.0,0.0,REG,8.889999999999993,-3.1504065040650406,-6.190476190476191,12.130000000000003,-5.172413793103448,-7.799145299145305,-3.67,-30.0,-18.97,-12.0,14.020000000000003,14.66,-9.12280701754386,-9.849999999999994
49,2008020050.0,20081016.0,20082009.0,PIT,WSH,-135.0,115.0,3.0,4.0,0.0,REG,-12.550000000000004,-2.996273930361043,3.786057692307687,-14.89,-3.2559062934286285,4.913076341647771,-1.23,-9.150000000000006,6.079999999999998,7.0,-21.92,-25.41,-2.953296703296704,9.039999999999992
50,2008020051.0,20081016.0,20082009.0,TBL,NYI,-150.0,130.0,3.0,4.0,0.0,OT,-7.439999999999998,-0.8787878787878789,2.457963089542037,-10.559999999999995,-1.1752136752136753,4.288617886178859,0.36999999999999966,-0.4299999999999997,4.790000000000006,-1.0,-12.899999999999999,-16.520000000000003,-1.0869565217391297,5.8700000000000045
51,2008020052.0,20081016.0,20082009.0,FLA,MIN,-110.0,-110.0,2.0,6.0,0.0,REG,13.219999999999999,-3.867028493894166,-3.457172342621251,12.759999999999998,-4.11111111111111,-4.863424383744174,-1.98,-14.869999999999997,-11.760000000000005,3.0,10.590000000000003,12.769999999999996,-5.662393162393163,-6.1000000000000085
52,2008020053.0,20081016.0,20082009.0,DET,VAN,-190.0,170.0,3.0,4.0,0.0,OT,15.880000000000003,-4.326992885145927,0.37241379310344325,14.29,-5.675840978593272,0.9641651936365125,-0.31000000000000005,0.0,-8.379999999999995,1.0,16.119999999999997,18.85,-10.892903901544907,2.519999999999996
53,2008020054.0,20081016.0,20082009.0,STL,DAL,-110.0,-110.0,6.0,1.0,1.0,REG,-6.859999999999999,0.3066507367582641,2.1798941798941818,-8.689999999999998,0.8190008190008189,3.136475829269758,0.33000000000000007,2.1700000000000017,4.75,-3.0,-6.530000000000001,-6.620000000000001,0.940814231953474,3.799999999999997
54,2008020055.0,20081016.0,20082009.0,COL,PHI,-135.0,115.0,5.0,2.0,1.0,REG,5.939999999999998,0.9059780282493934,-2.1913741924218577,4.109999999999999,1.2335877862595421,-2.2765316370940702,0.2999999999999998,3.479999999999997,-1.9200000000000017,-1.0,5.380000000000003,6.400000000000002,1.0121012101210123,-2.9399999999999977
55,2008020056.0,20081017.0,20082009.0,OTT,ARI,-150.0,130.0,6.0,3.0,1.0,REG,1.75,-0.422062350119904,-0.5310006138735446,2.729999999999997,-0.8547008547008544,-0.7120072909546638,-0.33999999999999986,-3.3299999999999983,-0.3999999999999915,-10.0,-2.030000000000001,-2.519999999999996,0.0,-0.39000000000000057
56,2008020057.0,20081017.0,20082009.0,NYR,TOR,-215.0,185.0,0.0,0.0,1.0,OT,6.930000000000007,0.43865756858376265,2.4171122994652405,4.630000000000003,0.9404198519597139,3.4444142798968347,2.21,20.71,5.679999999999993,7.0,6.259999999999998,6.900000000000002,0.8422939068100349,4.840000000000003
57,2008020058.0,20081017.0,20082009.0,CBJ,NSH,-125.0,105.0,5.0,3.0,1.0,REG,-1.3700000000000045,-0.5802818511848613,0.04544421722335601,-0.8500000000000014,-0.2515723270440251,-0.9372746935832788,-0.6099999999999999,-4.0,-1.2199999999999989,-3.0,-0.4200000000000017,-0.17999999999999616,-2.01123595505618,0.789999999999992
58,2008020059.0,20081017.0,20082009.0,BUF,VAN,-155.0,135.0,5.0,2.0,1.0,REG,6.119999999999997,-1.371308016877637,3.007204761407545,4.740000000000002,-1.0762975364745284,4.049043357887971,1.4499999999999997,21.429999999999993,1.0700000000000074,5.0,11.920000000000002,12.34,-4.444444444444444,5.510000000000005
59,2008020060.0,20081017.0,20082009.0,CGY,EDM,-140.0,120.0,3.0,4.0,0.0,REG,12.200000000000003,-1.5240641711229943,-7.183725365543547,10.75,-1.5401785714285716,-8.919766920663385,-2.9499999999999997,-22.5,-14.209999999999994,-3.0,9.990000000000002,11.48,-2.653597896246712,-11.560000000000002
